count Device,Device,Package,Value,Status,Digikey
5,C-EUC0805,C0805,100nF,ORDERED,‎C0805C104Z5VACTU‎
5,R-EU_R0805,R0805,10k,ORDERED,RC0805JR-0710KL‎
4,C-EUC0805,C0805,22pF,ORDERED,‎C0805C220J5GACTU‎
3,CHERRY_MX_LED,CHERRY_MX_LED,CHERRY_MX_LED,ORDERED,MX1A-E1NN‎
3,R-EU_R0805,R0805,1k,ORDERED,RC0805JR-071KL‎
2,ATMEGA48/88/168-PU,DIL28-3,ATMEGA48/88/168-PU,Stock,Stock
2,MA04-1,MA04-1,,Stock,Stock
2,XTAL/S,QS,16Mhz,Stock,Stock
1,128X64-I2C-OLED,128X64-I2C-OLED,128X64-I2C-OLED,Stock,Stock
1,4050D,SO16,4050D,ORDERED,"74HC4050D,653‎"
1,452404020202,452404020202, ,ORDERED,45 2404020202
1,7805TV,TO220V,7805TV,Stock,Stock
1,AVR-ISP-6,AVR-ISP-6,AVR-ISP-6,Stock,Stock
1,C-EUC0805,C0805,330nF,ORDERED,‎885012207019‎
1,CPOL-USA/3216-18R,A/3216-18R,10uF,ORDERED,TAJA106K006SNJ‎
1,LEDCHIP-LED0805,CHIP-LED0805,RED,ORDERED,LTST-S220KGKT‎
1,LP298XS,SOT23-5L,LP298XS,ORDERED,LP2980AIM5-3.0/NOPB‎
1,MICROSD,MICROSD,MICROSD,ORDERED,693071010811‎
1,PINHD-1X1,1X01,,Stock,Stock
1,R-US_R0805,R0805,1K,ORDERED,RC0805JR-071KL‎
1,W237-102,W237-102,9V,Stock,Stock
0,,,,,